,0,1,2,3
att1,275.9024,96497.734,14.478945,0.12803379
att2,276.06924,96606.06,14.458932,0.2652275
att3,276.12408,96653.125,14.4378195,0.20835526
att4,276.0061,96730.984,14.5378275,0.37750107
att5,276.0174,96779.766,14.500426,0.46364632
att6,276.37827,96771.73,14.407383,0.42073545
att7,276.78226,96765.81,14.2534275,0.38796422
att8,276.942,96722.664,14.110386,0.5574782
att9,276.92407,96633.695,13.759205,0.74132615
att10,276.91275,96582.0,13.644489,0.6568495
att11,277.04504,96536.88,13.1394615,0.51901364
att12,276.98193,96497.484,13.3581295,0.57265806
att13,276.53006,96520.9,13.64282,0.40803376
att14,276.44632,96554.414,13.307471,0.21425901
att15,276.7518,96537.03,12.792129,0.36714056
att16,276.89914,96554.36,12.912187,0.43070883
att17,277.03668,96584.87,13.0066395,0.38733548
att18,276.98724,96558.914,12.985748,0.38461962
att19,277.17905,96529.15,12.69418,0.3822422
att20,276.9455,96567.305,12.6314535,0.4454747
att21,276.5578,96627.914,12.970829,0.3301323
att22,276.6721,96574.63,12.725877,0.35491547
att23,276.76642,96563.32,12.590224,0.374456
att24,276.8242,96470.06,12.433258,0.41195506
att25,276.68417,96400.39,12.342258,0.2982507
att26,276.2981,96437.8,12.525361,0.2860599
att27,276.08853,96518.14,12.585786,0.27643746
att28,276.1873,96494.02,12.160295,0.15568131
att29,276.0468,96448.04,12.229033,0.15525311
att30,276.0069,96476.86,12.510535,0.17542632
att31,275.92975,96518.34,12.798118,0.15292166
att32,276.03934,96494.055,12.815776,0.11741457
att33,276.1107,96435.81,12.645686,0.2157004
att34,276.14844,96413.48,12.906801,-0.10511025
att35,276.04507,96475.664,13.154781,0.024388341
att36,275.8116,96467.625,13.184643,0.11108737
att37,275.50162,96451.38,13.207507,0.11887758
att38,275.35812,96465.44,13.586357,0.29427704
att39,275.25546,96479.19,13.638546,0.3162501
att40,275.2116,96428.11,13.6540785,0.44519225
att41,275.20178,96367.6,13.575305,0.34417236
att42,275.2831,96262.68,13.466162,0.38901263
att43,275.3347,96273.01,13.458868,0.32200438
att44,275.41956,96330.22,13.369771,0.36730316
att45,275.4561,96335.46,13.217729,0.21665065
att46,275.49234,96274.6,12.867058,0.057024486
att47,275.37057,96227.516,12.551122,0.13981935
att48,275.8973,96204.945,12.275055,0.17528737
att49,275.93216,96217.18,12.228119,0.096428975
att50,275.5893,96248.625,11.931292,0.06268566
att51,275.67932,96338.75,12.009477,0.15405165
att52,275.73734,96316.9,12.138082,0.21331254
att53,275.8243,96271.0,12.301386,0.063529484
att54,275.78238,96235.95,12.496257,0.004373054
att55,275.53525,96270.664,12.836499,0.05634713
att56,275.49347,96255.234,12.846977,0.14509715
att57,275.31375,96265.805,13.066744,0.12574111
att58,275.08893,96290.38,12.937322,0.0012482944
att59,275.41556,96260.71,12.743848,0.034785975
att60,275.44974,96215.68,12.672854,-0.02959743
att61,275.30432,96208.92,12.870779,-0.039471004
att62,275.2911,96286.09,13.070815,-0.008135281
att63,274.97128,96370.984,13.290388,0.089249514
att64,274.79865,96382.94,13.44921,0.1793019
att65,274.73392,96424.28,13.448941,0.2652922
att66,274.64468,96442.99,13.351188,0.20720339
att67,274.8287,96451.85,13.392668,0.09122716
att68,274.94077,96425.01,13.415069,0.1877283
att69,275.06998,96365.75,13.437539,0.11414198
att70,275.47366,96365.19,13.198716,-0.03422931
att71,275.24533,96313.77,12.918987,0.048116557
att72,274.948,96306.984,12.9310255,0.14429429
att73,274.77728,96325.15,12.967628,0.06761223
att74,274.8227,96309.445,13.081486,-0.05172374
att75,275.0535,96270.03,12.875126,-0.083864965
att76,274.9014,96248.13,12.740211,-0.065532714
att77,274.8685,96214.49,12.642317,-0.21706131
att78,274.95303,96193.086,12.777057,-0.14398293
att79,275.16672,96207.49,12.607948,-0.14188449
att80,274.9952,96251.86,12.845118,-0.24919136
att81,275.0574,96235.86,12.87414,-0.044990283
att82,275.07742,96206.25,12.822163,-0.06738286
att83,275.08325,96263.695,12.924978,-0.18389058
att84,275.14627,96333.125,13.110293,-0.21916182
att85,275.0604,96364.81,13.367403,-0.09756263
att86,275.03677,96377.12,13.41117,-0.007401105
att87,275.08163,96379.336,13.393311,-0.08663523
att88,275.02774,96351.586,13.298924,-0.091939546
att89,275.0344,96328.81,13.059458,-0.30945197
att90,275.073,96314.266,12.85637,-0.37857854
att91,275.3573,96334.58,12.627905,-0.2255308
att92,275.86972,96372.12,12.63443,-0.06610804
att93,276.16602,96386.734,12.6768265,-0.113739446
att94,275.88586,96429.94,12.720676,-0.27809918
att95,275.89456,96464.164,12.843466,-0.14315146
att96,275.91614,96497.22,13.15616,-0.16917787
att97,275.61444,96559.61,13.222819,-0.06945486
att98,275.92886,96659.14,13.226607,-0.15698707
att99,275.92413,96692.2,13.319504,-0.103161015
