,1,2,3,4,5
1981,1970,1962,1957,1951,1968
1982,1977,1967,1969,1970,1955
1983,1975,1964,1980,1978,1966
1984,1963,1967,1972,1977,1962
1985,1977,1967,1969,1974,1955
1986,1968,1967,1985,1975,1963
1987,1967,1969,1975,1977,1958
1988,1987,1975,1983,1962,1970
1989,1971,1968,1983,1963,1962
1990,1969,1985,1988,1973,1967
1991,1986,1969,1970,1981,1988
1992,1991,1988,1987,1962,1975
1993,1975,1987,1991,1980,1973
1994,1969,1993,1975,1970,1991
1995,1993,1992,1987,1988,1975
1996,1975,1978,1991,1993,1988
1997,1992,1967,1969,1977,1988
1998,1969,1994,1975,1990,1977
1999,1970,1975,1993,1988,1969
2000,1992,1981,1995,1997,1991
2001,1999,1982,1972,1987,1975
2002,1988,1987,1998,1992,1975
2003,1994,1988,1991,1999,1995
2004,2003,1986,2001,1987,1993
2005,1998,2002,1988,1975,1993
2006,1999,2001,1983,1979,1980
2007,2004,2003,1995,1993,2005
2008,2000,1989,1988,2005,2002
2009,1981,1991,2001,1987,1988
2010,2001,1986,1987,2004,2009
2011,1982,1998,1997,1985,2003
2012,1988,1992,1991,1995,2002
2013,1993,1987,2001,2006,1999
2014,1998,1990,1994,2011,2003
2015,1985,2011,2003,2001,2012
2016,1994,2005,1993,1996,1998
2017,2004,1999,2003,2001,2010
2018,2001,2006,1995,2013,1999
2019,1991,1990,1992,1998,2002
2020,1998,1993,1991,2003,1994
