,dists,predIds,skips,coretime,p_cals,predYears
1981,"[89.13414548707755, 90.21170515937582, 91.11408484994031, 94.54147071462272, 94.69623325001525, 95.28977846422171, 96.50949003442018, 97.80220698641672, 99.39110839300884, 100.32653112748967]
","[19, 17, 0, 4, 11, 14, 9, 25, 18, 15]
","0
","4.498025894165039
","0
","[1970, 1968, 1951, 1955, 1962, 1965, 1960, 1976, 1969, 1966]
"
1982,"[86.41672914795234, 87.25745187742713, 88.08491401638162, 90.53781774718605, 90.86232156771561, 91.32980410153799, 91.98953460621156, 92.25193681249063, 92.71130936423639, 93.9189920310721]
","[7, 1, 15, 26, 21, 19, 22, 23, 13, 0]
","0
","4.361277103424072
","0
","[1959, 1953, 1967, 1978, 1973, 1971, 1974, 1975, 1965, 1952]
"
1983,"[88.33398542203109, 90.33747019530293, 90.6854902694089, 90.70775005310779, 92.02662109290502, 94.7280710512354, 95.8733280769014, 96.08479452329284, 96.2042230714794, 97.1058437479188]
","[22, 14, 9, 8, 27, 25, 11, 2, 5, 4]
","0
","4.577536106109619
","0
","[1975, 1967, 1962, 1961, 1980, 1978, 1964, 1955, 1958, 1957]
"
1984,"[90.1576302924539, 91.42836135021773, 92.30164049426837, 93.46843881142786, 93.68036254562087, 96.79330944188604, 96.89937525923037, 96.9542401487175, 97.65632928828681, 97.94383621424865]
","[1, 6, 15, 27, 7, 0, 17, 4, 14, 24]
","0
","4.902300834655762
","0
","[1955, 1960, 1969, 1981, 1961, 1954, 1971, 1958, 1968, 1978]
"
1985,"[78.9930425333767, 79.77435762292765, 81.7191164653279, 83.69074013789745, 85.11260373868215, 85.16372666057873, 85.22585822995141, 85.81617934925801, 89.64996429514594, 89.83006222945865]
","[14, 0, 12, 1, 10, 29, 22, 3, 5, 27]
","0
","4.858281373977661
","0
","[1969, 1955, 1967, 1956, 1965, 1984, 1977, 1958, 1960, 1982]
"
1986,"[83.31260700619721, 84.29190935433176, 84.75277706224159, 85.04024378993384, 89.02639785677596, 92.58148197644039, 93.35717741008241, 93.69134477994751, 93.97834212770528, 94.13055084724984]
","[29, 9, 19, 11, 22, 24, 2, 12, 21, 10]
","0
","5.002083778381348
","0
","[1985, 1965, 1975, 1967, 1978, 1980, 1958, 1968, 1977, 1966]
"
1987,"[78.31391512152474, 81.40425006670264, 81.58064765448503, 81.98529823100716, 83.12444337120047, 83.59734937293335, 84.15719109857376, 84.49855042573874, 86.77105142500538, 89.94972851597667]
","[1, 18, 10, 12, 29, 23, 20, 8, 28, 21]
","0
","5.653649091720581
","0
","[1958, 1975, 1967, 1969, 1986, 1980, 1977, 1965, 1985, 1978]
"
1988,"[84.25727031112227, 87.1600422217036, 89.00237428605931, 90.25274919568274, 92.46558143998433, 93.76720925509636, 94.3637249399992, 96.4402855069731, 98.05864125404742, 98.32263426172076]
","[25, 23, 17, 4, 3, 11, 27, 10, 29, 15]
","0
","5.662079095840454
","0
","[1983, 1981, 1975, 1962, 1961, 1969, 1985, 1968, 1987, 1973]
"
1989,"[88.00803692096164, 94.03137372051232, 94.80041344781017, 95.12436948085973, 95.47496861944416, 97.06700484303587, 98.53610203317893, 100.04755456725407, 101.62652845149766, 102.66233325772066]
","[9, 24, 4, 3, 8, 22, 15, 12, 26, 20]
","0
","5.127820014953613
","0
","[1968, 1983, 1963, 1962, 1967, 1981, 1974, 1971, 1985, 1979]
"
1990,"[89.53903140245055, 89.7397886660107, 90.9755648888626, 94.74639069986816, 95.02031997804654, 95.35508867987664, 95.74656486203916, 96.16568970946011, 96.32116756769571, 96.36879494068475]
","[15, 7, 4, 2, 25, 13, 26, 1, 18, 23]
","0
","4.810753107070923
","0
","[1975, 1967, 1964, 1962, 1985, 1973, 1986, 1961, 1978, 1983]
"
1991,"[84.76310921079205, 85.51648683497606, 85.56152091829367, 90.32598017809663, 92.33691211397526, 92.78418731264954, 93.3678131749436, 94.61925535726462, 94.86752908441399, 95.70037458927267]
","[20, 8, 9, 26, 14, 17, 4, 12, 25, 27]
","0
","4.830096244812012
","0
","[1981, 1969, 1970, 1987, 1975, 1978, 1965, 1973, 1986, 1988]
"
1992,"[83.22356948423379, 86.70077241864914, 88.38934305163806, 89.60556359760537, 90.2980677745681, 90.73102357403049, 91.45890878895857, 92.63972054136644, 92.73148650843422, 94.30561938804445]
","[29, 13, 26, 28, 19, 25, 7, 0, 16, 21]
","0
","4.265367031097412
","0
","[1991, 1975, 1988, 1990, 1981, 1987, 1969, 1962, 1978, 1983]
"
1993,"[81.03093209019036, 81.75579036415347, 81.93022794559212, 86.19593017652404, 86.58942438667971, 88.25022678038196, 90.78617484821355, 92.05218748139416, 92.23089962684625, 92.67684948745135]
","[12, 24, 10, 28, 17, 4, 2, 19, 16, 15]
","0
","4.168757915496826
","0
","[1975, 1987, 1973, 1991, 1980, 1967, 1965, 1982, 1979, 1978]
"
