year,dist,predId,skips,coretime,p_cals,predYear
1981,89.13414548707755,19.0,0.0,2.861572742462158,0.0,1970.0
1982,86.41672914795234,7.0,0.0,2.4541409015655518,0.0,1959.0
1983,88.33398542203109,22.0,0.0,2.3453187942504883,0.0,1975.0
1984,90.1576302924539,1.0,0.0,2.357762098312378,0.0,1955.0
1985,78.9930425333767,14.0,0.0,2.2680211067199707,0.0,1969.0
1986,83.31260700619721,29.0,0.0,2.267902135848999,0.0,1985.0
1987,78.31391512152474,1.0,0.0,2.2099361419677734,0.0,1958.0
1988,84.25727031112227,25.0,0.0,2.310805082321167,0.0,1983.0
1989,88.00803692096164,9.0,0.0,2.2289822101593018,0.0,1968.0
1990,89.53903140245055,15.0,0.0,2.372252941131592,0.0,1975.0
1991,84.76310921079205,20.0,0.0,2.226377248764038,0.0,1981.0
1992,83.22356948423379,29.0,0.0,2.1995790004730225,0.0,1991.0
1993,81.03093209019036,12.0,0.0,2.2695810794830322,0.0,1975.0
1994,85.36235868929334,5.0,0.0,2.3113698959350586,0.0,1969.0
1995,83.63283737381981,28.0,0.0,2.2576351165771484,0.0,1993.0
1996,90.5155391955546,27.0,0.0,2.322126865386963,0.0,1993.0
1997,88.06127481056599,15.0,0.0,2.4898390769958496,0.0,1982.0
1998,83.58404387735537,1.0,0.0,2.3967111110687256,0.0,1969.0
1999,83.896596705106,1.0,0.0,2.4943041801452637,0.0,1970.0
2000,89.407177358257,6.0,0.0,2.430210828781128,0.0,1976.0
2001,78.51806053012557,15.0,0.0,2.4543049335479736,0.0,1986.0
2002,88.36106902237873,26.0,0.0,2.2861099243164062,0.0,1998.0
2003,85.0919110404734,15.0,0.0,2.4320690631866455,0.0,1988.0
2004,81.82671449036306,29.0,0.0,2.248401165008545,0.0,2003.0
2005,83.2938382874421,20.0,0.0,2.4069666862487793,0.0,1995.0
2006,85.63116570381722,3.0,0.0,2.2614269256591797,0.0,1979.0
2007,82.02946354679177,18.0,0.0,2.2108449935913086,0.0,1995.0
2008,83.29837423041862,8.0,0.0,2.2656760215759277,0.0,1986.0
2009,82.16121099331052,8.0,0.0,2.273087978363037,0.0,1987.0
2010,85.85416310263253,24.0,0.0,2.3692219257354736,0.0,2004.0
2011,84.93651516818566,18.0,0.0,2.3587307929992676,0.0,1999.0
2012,83.24123485748969,21.0,0.0,2.3139257431030273,0.0,2003.0
2013,82.076957265627,4.0,0.0,2.3632850646972656,0.0,1987.0
2014,86.70705649597103,10.0,0.0,2.362800121307373,0.0,1994.0
2015,89.12101488118996,24.0,0.0,2.402207851409912,0.0,2009.0
2016,90.53775912010035,19.0,0.0,2.418811798095703,0.0,2005.0
2017,83.49341093616198,17.0,0.0,2.274420976638794,0.0,2004.0
2018,85.79446102131108,11.0,0.0,2.378932237625122,0.0,1999.0
2019,93.84044884825306,16.0,0.0,2.261464834213257,0.0,2005.0
2020,85.77918608311654,15.0,0.0,2.351426839828491,0.0,2005.0
